PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
新光 2 廳	2009/11/06	15:00	105	(焦點影人) 轉眼人生： 市川準	鶇	Tugumi	普G	▲	98
新光 2 廳	2009/11/06	17:20	105	(影迷嘉年華) 來自海上的聲音-東南亞焦點	男孩看見血地獄	Kinatay	限R	▲	59
新光 2 廳	2009/11/06	19:30	106	(特別企劃) 看見紫絲帶	戀獄天堂	Heaven on Earth	護PG	★	38
新光 2 廳	2009/11/06	22:20	144	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	首演之夜	Opening Night	輔PG		93
新光 2 廳	2009/11/07	13:20	90	(酷電影) 搖滾啟示錄	燃燒吧！龐克	Burning Down the House: The Story of CBGB	普G		82
新光 2 廳	2009/11/07	15:20	100	(酷電影) 我是傳奇	席德與南西的真實故事	Who Killed Nancy?	護PG		86
新光 2 廳	2009/11/07	17:30	102	(酷電影) 我是傳奇	草間彌生之我是女王	I Adore Myself	普G		86
新光 2 廳	2009/11/07	19:40	82	(酷電影) 我是傳奇	米歇爾龔特利小時候	The Thorn in the Heart	普G		87
新光 2 廳	2009/11/07	21:30	93	(酷電影) 搖滾啟示錄	歡樂分隊	Joy Division	普G		83
新光 2 廳	2009/11/07	23:50	133	(奇幻世界) 吸血鬼之夜	蝙蝠：血色情慾	Thirst	限R	▲	118
新光 2 廳	2009/11/08	02:30	88	(奇幻世界) 吸血鬼之夜	蕾絲邊吸你血	Lesbian Vampire Killers	限R		117
新光 2 廳	2009/11/08	04:40	85	(奇幻世界) 吸血鬼之夜	吸血鬼少女大戰科學女怪人	Vampire Girl vs. Frankenstein Girl	限R		117
新光 2 廳	2009/11/08	14:00	121	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	女煞葛洛莉	Gloria	輔PG		92
新光 2 廳	2009/11/08	16:30	222	(焦點影人) 寶萊塢的莫札特：A. R. 拉曼	榮耀之役	Laggan	普G		106
新光 2 廳	2009/11/08	20:50	89	(影迷嘉年華) 青春紀事	小豬撲滿的願望	Treeless Mountain	普G		60
新光 2 廳	2009/11/08	22:50	105	(影迷嘉年華) 來自海上的聲音-東南亞焦點	男孩看見血地獄	Kinatay	限R	▲	59
新光 2 廳	2009/11/09	16:30	89	(影迷嘉年華) 青春紀事	小豬撲滿的願望	Treeless Mountain	普G		60
新光 2 廳	2009/11/09	18:30	86	(特別企劃) 看見紫絲帶	海邊的天使	Angel at Sea	護PG	★	37
新光 2 廳	2009/11/09	21:00	115	(影迷嘉年華) 年度熱門電影	警察，形容詞	Police, Adjective	護PG		51
新光 2 廳	2009/11/10	15:00	106	(特別企劃) 看見紫絲帶	戀獄天堂	Heaven on Earth	護PG		38
新光 2 廳	2009/11/10	17:20	89	(影迷嘉年華) 年度熱門電影	保加利亞天空下	Eastern Plays	普G		51
新光 2 廳	2009/11/10	19:40	107	(酷電影) 我是傳奇	派蒂史密斯‧搖滾‧夢	Patti Smith: Dream of Life	護PG	★	85
新光 2 廳	2009/11/10	22:20	88	(奇幻世界) 吸血鬼之夜	蕾絲邊吸你血	Lesbian Vampire Killers	限R		117
新光 2 廳	2009/11/11	13:00	95	(酷電影) 經典重現	逍遙騎士	Easy Rider	護PG		88
新光 2 廳	2009/11/11	15:00	89	(影迷嘉年華) 青春紀事	小豬撲滿的願望	Treeless Mountain	普G		60
新光 2 廳	2009/11/11	17:00	86	(特別企劃) 看見紫絲帶	海邊的天使	Angel at Sea	護PG	★	37
新光 2 廳	2009/11/11	19:30	93	(影迷嘉年華) 青春紀事	由紀與妮娜	Yuki & Nina	普G		62
新光 2 廳	2009/11/11	21:30	77	(影迷嘉年華) 來自海上的聲音-東南亞焦點	瞎豬想要飛	Blind PiGWho Wants to Fly	限R		59
新光 2 廳	2009/11/12	10:30	87	(特別企劃) 看見紫絲帶	愛從心開始	Muallaf	普G	★	38
新光 2 廳	2009/11/12	13:00	93	(影迷嘉年華) 青春紀事	由紀與妮娜	Yuki & Nina	普G		62
新光 2 廳	2009/11/12	15:30	167	(焦點影人) 寶萊塢的莫札特：A. R. 拉曼	我心深處	Dil Se	普G		107
新光 2 廳	2009/11/12	18:50	144	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	首演之夜	Opening Night	輔PG		93
新光 2 廳	2009/11/12	21:40	147	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	受影響的女人	A Woman Under the Influence	輔PG		93
新光 2 廳	2009/11/13	11:00	77	(影迷嘉年華) 來自海上的聲音-東南亞焦點	瞎豬想要飛	Blind PiGWho Wants to Fly	限R		59
新光 2 廳	2009/11/13	12:50	121	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	女煞葛洛莉	Gloria	輔PG		92
新光 2 廳	2009/11/13	15:20	222	(焦點影人) 寶萊塢的莫札特：A. R. 拉曼	榮耀之役	Laggan	普G		106
新光 2 廳	2009/11/13	19:30	87	(特別企劃) 看見紫絲帶	愛從心開始	Muallaf	普G	★	38
新光 2 廳	2009/11/13	22:00	93	(影迷嘉年華) 青春紀事	由紀與妮娜	Yuki & Nina	普G		62
新光 2 廳	2009/11/14	10:30	100	(焦點影人) 轉眼人生： 市川準	人生最後一站	Dyingat a Hospital	普G		98
新光 2 廳	2009/11/14	15:40	130	(影迷嘉年華) 年度熱門電影	火焰與檸檬	Flame and Citron	輔PG		52
新光 2 廳	2009/11/14	18:20	107	(酷電影) 我是傳奇	派蒂史密斯‧搖滾‧夢	Patti Smith: Dream of Life	護PG		85
新光 2 廳	2009/11/14	20:40	95	(酷電影) 經典重現	逍遙騎士	Easy Rider	護PG		88
新光 2 廳	2009/11/14	22:50	91	(奇幻世界) 泰瑞吉蘭異世界	聖杯傳奇	Monty Python and the Holy Grail	輔PG		131
新光 2 廳	2009/11/15	11:00	86	(影迷嘉年華) 年度熱門電影	誰怕女明星	Applause	普G		52
新光 2 廳	2009/11/15	13:00	147	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	受影響的女人	A Woman Under the Influence	輔PG		93
新光 2 廳	2009/11/15	16:00	119	(影迷嘉年華) 年度熱門電影	海灘的那一天	About Elly	普G		51
新光 2 廳	2009/11/15	18:30	105	(焦點影人) 轉眼人生： 市川準	鶇	Tugumi	普G	▲	98
新光 2 廳	2009/11/15	20:40	90	(影迷嘉年華) 年度熱門電影	該死的艾瑪	The Last Days of Emma Blank	輔PG		50
新光 2 廳	2009/11/15	22:40	118	(奇幻世界) 泰瑞吉蘭異世界	賭城風情畫	Fear and Loathingin Las Vegas	限R		131
新光 2 廳	2009/11/16	14:00	137	(焦點影人) 寶萊塢的莫札特：A. R. 拉曼	印度玫瑰	Roja	普G		107
新光 2 廳	2009/11/16	17:00	100	(影迷嘉年華) 年度熱門電影	親親小不點	La Pivellina	普G		53
新光 2 廳	2009/11/16	19:10	108	(影迷嘉年華) 青春紀事	遛鳥家族	The Misfortunates	輔PG		61
新光 2 廳	2009/11/16	21:30	86	(影迷嘉年華) 年度熱門電影	誰怕女明星	Applause	普G		52
新光 2 廳	2009/11/17	14:30	112	(奇幻世界) 泰瑞吉蘭異世界	脫線一籮筐	The Meaningof Life	輔PG		130
新光 2 廳	2009/11/17	16:50	119	(影迷嘉年華) 年度熱門電影	海灘的那一天	About Elly	普G		51
新光 2 廳	2009/11/17	19:20	100	(影迷嘉年華) 名家饗宴	巴黎日和	35 Shots of Rum	普G		49
新光 2 廳	2009/11/17	21:30	84	(奇幻世界) 短片動畫	短片動畫3-恐懼森林	Short Cuts & Animation 3 -Forest of Horror	護PG	★	128
